Personenname,Sprache,Sprachnutzung,Beleg,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Nusko Maruša,Lettisch,Übersetzung,übersetzte... lettische Volkslieder... ins Deutsche,,,,,,,,,
Nusko Maruša,Französisch,Übersetzung,und,,,,,Sprachunterricht,übersetzte... französische... Dichtungen ins Deutsche,,,
Nusko Maruša,Englisch,Übersetzung,übersetzte... englische Dichtungen ins Deutsche,,,,,,,,,
Oehler Elise,Englisch,Übersetzung,"Schloss u. Hütte, od. christliche Ehe. Aus dem Engl.",,,,,,,,,
Oelschläger Wilhelmine,Englisch,Sprachunterricht,Leitfaden zum Erlernen der englischen Sprache,,,,,,,,,
Oepke Sophie,A.,Th.,Englisch,,,,,Sprachunterricht,und,Lehrtätigkeit,war drei Jahre Lehrerin in einem Institute in England,
Oertzen Margarete,Marie,von,Norwegisch,,,,,Übersetzung,Schwarz auf Weiss. Sort på Hvidt. Texten oversat på Norsk,,,
Omer Doris,Englisch,Übersetzung,"übersetzt aus dem Englischen, Französischen und Türkischen",,,,,,,,,
Omer Doris,Französisch,Übersetzung,"übersetzt aus dem Englischen, Französischen und Türkischen",,,,,,,,,
Omer Doris,Türkisch,Übersetzung,"übersetzt aus dem Englischen, Französischen und Türkischen",,,,,,,,,
Opitz Therese,Adolf,Französisch,Übersetzung,,,,,nach dem Franz. des Frl. Ulliac Tremadeure,,,,
Orell-Keller Sophie,Französisch,Übersetzung,Sie schreibt gern Erzählungen nach dem Französischen und Englischen,,,,,,,,,
Orell-Keller Sophie,Englisch,Übersetzung,Sie schreibt gern Erzählungen nach dem Französischen und Englischen,,,,,,,,,
Osterloh Adele,Latein,Übersetzung,deren Dissertation... A. O. aus dem Lateinischen über setzt hat,,,,,,,,,
Otten Else,Französisch,Übersetzung,"übersetzt aus dem Französischen, Englischen, Holländischen und Spanischen",,,,,,,,,
Otten Else,Englisch,Übersetzung,"übersetzt aus dem Französischen, Englischen, Holländischen und Spanischen",,,,,,,,,
Otten Else,Holländisch,Übersetzung,"übersetzt aus dem Französischen, Englischen, Holländischen und Spanischen",,,,,,,,,
Otten Else,Spanisch,Übersetzung,"übersetzt aus dem Französischen, Englischen, Holländischen und Spanischen",,,,,,,,,
Ottesen Mary,Deutsch,Sprachunterricht,und,,,,,Übersetzung,studierte seit 1880 mehrere Jahre in Berlin Sprachen und Litteratur,,,
Ottesen Mary,Dänisch,Sprachhandbuch,Deutsch-dänisch-norwegisch. Kleines Handbuch der dän.-norweg. Sprache,,,,,,,,,
Ottesen Mary,Norwegisch,Sprachhandbuch,Deutsch-dänisch-norwegisch. Kleines Handbuch der dän.-norweg. Sprache,,,,,,,,,
Ottzenn Bertha,Französisch,Publikation,Auch eine französische Zeitschrift »Journal français« öffnete ihre Spalten,,,,,,,,,
Palm-Nasareff Fanny,Russisch,Übersetzung,Sie hat russische Romane und Novellen für deutsche Tageszeitungen übersetzt,,,,,,,,,
Palme Agnes,Russisch,Dolmetschen,"Lehrerin, Dolmetscherin, Agnes Palme. Leseübungen russischer Handschriften",,,,,,,,,
Paoli Betty,Französisch,Übersetzung,Didier von Berton. Übers.,,,,,,,,,
Papst Helene,Russisch,Übersetzung,übersetzte sie die Epen der russischen Dichter Puschkin und Lermontoff,,,,,,,,,
Papst Helene,Lettisch,Übersetzung,übersetzte... lettische Volkslieder... ins Deutsche,,,,,,,,,
Papst Helene,Französisch,Übersetzung,übersetzte... französische... Dichtungen ins Deutsche,,,,,,,,,
Papst Helene,Englisch,Übersetzung,übersetzte... englische Dichtungen ins Deutsche,,,,,,,,,
Papst Helene,Latein,Sprachstudium,Sie trieb privatim das Studium der lateinischen Sprache,,,,,,,,,
Papst Helene,Griechisch,Sprachstudium,dehnte sie ihre Studien auch auf die griechische Sprache aus,,,,,,,,,
Passow Athenaea,Englisch,Übersetzung,Der Obersteuermann. Rom. von Clark Russel. Übersetzg.,,,,,,,,,
Paufler Professor,Französisch,Übersetzung,"Sie übersetzte Romane aus dem Französischen, Englischen und Italienischen",,,,,,,,,
Paufler Professor,Englisch,Übersetzung,"Sie übersetzte Romane aus dem Französischen, Englischen und Italienischen",,,,,,,,,
Paufler Professor,Italienisch,Übersetzung,"Sie übersetzte Romane aus dem Französischen, Englischen und Italienischen",,,,,,,,,
Pelouze Madame,Französisch,Übersetzung,Die Kunstwäscherin. Nach dem Franz.,,,,,,,,,
Perin Josefine,Freiin,v.,Französisch,,,,,Übersetzung,Was die Grossmutter ihren Enkeln erzählte. Aus d. Französ.,,,
Pessiack Louise,Romanische,Sprachen,Übersetzung,,,,,hat sie viel als Übersetzerin aus romanischen und slavischen Sprachen geleistet,,,,
Pessiack Louise,Slavische,Sprachen,Übersetzung,,,,,hat sie viel als Übersetzerin aus romanischen und slavischen Sprachen geleistet,,,,
Petritsch Luise,Italienisch,Übersetzung,und,,,,,Sprachunterricht,"wurde Übersetzerin aus dem Italienischen, sowie Sprachlehrerin",,,
Pflücker Emilie,Französisch,Übersetzung,macht Übersetzungen aus dem Französischen und Spanischen,,,,,,,,,
Pflücker Emilie,Spanisch,Übersetzung,macht Übersetzungen aus dem Französischen und Spanischen,,,,,,,,,
Phelps Elisabeth,Stuart,Englisch,Übersetzung,,,,,"Lazare, komm heraus... Aus »Come forth«, frei übertr.",,,,
Pillet Frau Professor M.,Französisch,Übersetzungen,häufig mit Übersetzungen aus dem Französischen und Englischen beschäftigt,,,,,,,,,
Pillet Frau Professor M.,Englisch,Übersetzungen,häufig mit Übersetzungen aus dem Französischen und Englischen beschäftigt,,,,,,,,,
Piorkowska Frl. Jenny,Französisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen und Italienischen",,,,,,,,,
Piorkowska Frl. Jenny,Englisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen und Italienischen",,,,,,,,,
Piorkowska Frl. Jenny,Italienisch,Übersetzungen,"übersetzt aus dem Französischen, Englischen und Italienischen",,,,,,,,,
Plönnies Luise v.,Englisch,Übersetzungen,Englische Lyriker des 19. Jahrhunderts. Ins Deutsche übertragen,,,,,,,,,
Podzahradsky Frau Käthe,Französisch,Übersetzungen,"ist sie in Wien als Übersetzerin aus dem Französischen, Englischen und Italienischen thätig",,,,,,,,,
Podzahradsky Frau Käthe,Englisch,Übersetzungen,"ist sie in Wien als Übersetzerin aus dem Französischen, Englischen und Italienischen thätig",,,,,,,,,
Podzahradsky Frau Käthe,Italienisch,Übersetzungen,"ist sie in Wien als Übersetzerin aus dem Französischen, Englischen und Italienischen thätig",,,,,,,,,
Polenz Hertha v.,Wendisch,Erstsprache,"erlernte zuerst die wendische Sprache, dann deutsch, französisch, englisch und spanisch",,,,,,,,,
Polenz Hertha v.,Französisch,Spracherlernung,"erlernte zuerst die wendische Sprache, dann deutsch, französisch, englisch und spanisch",,,,,,,,,
Polenz Hertha v.,Englisch,Spracherlernung,"erlernte zuerst die wendische Sprache, dann deutsch, französisch, englisch und spanisch",,,,,,,,,
Polenz Hertha v.,Spanisch,Spracherlernung,"erlernte zuerst die wendische Sprache, dann deutsch, französisch, englisch und spanisch",,,,,,,,,
Pommerenike Frl. Emma,Alte Sprachen,Studium,"widmete sich mit Vorliebe historischen, biographischen, theologischen und sprachlichen Studien, um derenwillen sie auch die alten Sprachen mit Freude erlernte",,,,,,,,,
Poppée Frl. Dolphine,Tschechisch,Fachbuch,vollendete jetzt das erste czechische graphologische Werk,,,,,,,,,
Poppée Frl. Dolphine,Französisch,Korrespondenz,Sie ist auch Korrespondentin für »La Graphologie« in Paris,,,,,,,,,
Poschinger Frau Margarete Edle von,Moderne Sprachen,Studium,pflegte sie mit Vorliebe moderne Sprachen,,,,,,,,,
Prager Frau Mathilde,Englisch,Übersetzungen,Eine kurze Zeit mit dem Übersetzen aus dem Englischen beschäftigt,,,,,,,,,
Prager Frau Mathilde,Skandinavische Sprachen,Übersetzungen,wandte sie sich bald den skandinavischen Sprachen zu,,,,,,,,,
Preusser Annette,Englisch,Übersetzungen,Krankheit als Prüfung u. Segen. Aus dem Engl. frei übertragen,,,,,,,,,
Prinzhorn Wilhelmine von,Englisch,Anthologie,Von beiden Ufern des Atlantic. Englisch-amerikan. Anthologie,,,,,,,,,
Prochazka Frau Tony,Französisch,Übersetzungen,ist Übersetzerin aus dem Französischen,,,,,,,,,
Puddicombe Julie,Englisch,Übersetzungen,Nach d. Engl.,,,,,,,,,
Pulszky Therese,Englisch,Übersetzungen,"Weiss, Roth, Schwarz. Aus dem Engl.",,,,,,,,,
Pulvermacher Frl. Auguste,Englisch,Übersetzungen,Sie ist auch Übersetzerin aus dem Englischen und Französischen,,,,,,,,,
Pulvermacher Frl. Auguste,Französisch,Übersetzungen,Sie ist auch Übersetzerin aus dem Englischen und Französischen,,,,,,,,,
Radius Anna,Italienisch,Übersetzungen,Übersetzerin der Neera,,,,,,,,,
Reichard Frau Mea,Englisch,Übersetzungen,"Die Schriftstellerin befasst sich auch mit Übersetzungen aus dem Englischen, Französischen, Polnischen und Schwedischen ins Deutsche",,,,,,,,,
Reichard Frau Mea,Französisch,Übersetzungen,"Die Schriftstellerin befasst sich auch mit Übersetzungen aus dem Englischen, Französischen, Polnischen und Schwedischen ins Deutsche",,,,,,,,,
Reichard Frau Mea,Polnisch,Übersetzungen,"Die Schriftstellerin befasst sich auch mit Übersetzungen aus dem Englischen, Französischen, Polnischen und Schwedischen ins Deutsche",,,,,,,,,
Reichard Frau Mea,Schwedisch,Übersetzungen,"Die Schriftstellerin befasst sich auch mit Übersetzungen aus dem Englischen, Französischen, Polnischen und Schwedischen ins Deutsche",,,,,,,,,
Reichel Frl. Emilie,Spanisch,Übersetzungen,widmete sich besonders dem Übersetzen aus dem Spanischen,,,,,,,,,
Reichel Frl. Emma,Englisch,Journalismus und Übersetzungen,für deutsche und englische Zeitungen unter vielfach wechselndem Pseudonym schriftstellerisch thätig war,,,,,,,,,
Reichmann M.,Französisch,Übersetzungen,"Die Geschwister. Eine Erzählg. von Mme. de Pressensé, aus dem Französ. von M. R.",,,,,,,,,
Reinhard Frl. Lina,Französisch,Unterricht,war ein Jahr Lehrerin der deutschen Sprache und der Musik in einem Mädchenpensionat der französischen Schweiz,,,,,,,,,
Reinhard Frl. Lina,Englisch,Übersetzungen,war sie als Übersetzerin aus dem Englischen thätig,,,,,,,,,
"Reuss, Fürstin Eleonore",Englisch,Übersetzung,Die sechs Kissen. Erzählg. für junge Mädchen. Nach dem Englischen der Miss Charlotte M. Yonge,,,,,,,,,
"Rhiem, Frl. Caroline",Englisch,Übersetzung,Manches hat sie aus dem Englischen und Französischen übersetzt,,,,,,,,,
"Rhiem, Frl. Caroline",Französisch,Übersetzung,Manches hat sie aus dem Englischen und Französischen übersetzt,,,,,,,,,
"Richter, Frau Dr. Luise M.",Deutsch,Übersetzung,Sie übersetzte aus dem Deutschen ins Englische das epochemachende Werk von Giovanni Morelli,,,,,,,,,
"Richter, Frau Dr. Luise M.",Englisch,Übersetzung,Sie übersetzte aus dem Deutschen ins Englische das epochemachende Werk von Giovanni Morelli,,,,,,,,,
"Ringseis, Frl. Bettina von",Französisch,Übersetzung,Das Beharrlichkeitsbüchlein. Aus dem Franz. des Prof. J. A. Heinrich übersetzt,,,,,,,,,
"Riotte, Frl. Franziska",Französisch,Übersetzung,als Übersetzerin aus dem Französischen und Englischen thätig,,,,,,,,,
"Riotte, Frl. Franziska",Englisch,Übersetzung,als Übersetzerin aus dem Französischen und Englischen thätig,,,,,,,,,
"Robolsky, Frl. Antonie",Französisch,Übersetzung,"ihre Sprachkenntnisse im Französischen, Englischen, Italienischen und Spanischen durch Übersetzen zu verwerten",,,,,,,,,
"Robolsky, Frl. Antonie",Englisch,Übersetzung,"ihre Sprachkenntnisse im Französischen, Englischen, Italienischen und Spanischen durch Übersetzen zu verwerten",,,,,,,,,
"Robolsky, Frl. Antonie",Italienisch,Übersetzung,"ihre Sprachkenntnisse im Französischen, Englischen, Italienischen und Spanischen durch Übersetzen zu verwerten",,,,,,,,,
"Robolsky, Frl. Antonie",Spanisch,Übersetzung,"ihre Sprachkenntnisse im Französischen, Englischen, Italienischen und Spanischen durch Übersetzen zu verwerten",,,,,,,,,
"Robolsky, Frl. Katharina Therese",Portugiesisch,"Wörterbuch, Übersetzung",1893 gab sie ein portugiesisches Taschenwörterbuch heraus,,,,,,,,,
"Robolsky, Frl. Katharina Therese",Holländisch,"Wörterbuch, Übersetzung",1896 folgte ein holländisches,,,,,,,,,
"Robolsky, Frl. Katharina Therese",Schwedisch,"Wörterbuch, Übersetzung",augenblicklich ist ein schwedisches Taschenwörterbuch im Druck begriffen,,,,,,,,,
"Robolsky, Frl. Katharina Therese",Norwegisch,Übersetzung,Aus dem Norwegischen übersetzte sie den Roman »Ein Volkszug« von Johan Bojer,,,,,,,,,
"Roth, Frau Clara",Englisch,Übersetzung,"mit dem Übersetzen von Aufsätzen meist wissenschaftlichen Inhalts, aus dem Englischen und Italienischen",,,,,,,,,
"Roth, Frau Clara",Italienisch,Übersetzung,"mit dem Übersetzen von Aufsätzen meist wissenschaftlichen Inhalts, aus dem Englischen und Italienischen",,,,,,,,,
"Rothenthal, Frau Baronin Melanie",Französisch,Journalistische Arbeit,war sie Berichterstatterin mehrerer französischer Journale,,,,,,,,,
"Rosenfeld, Frau Dr. Ulrike",Französisch,Übersetzung,"wie Übersetzungen französischer, englischer und italienischer Romane aus ihrer Feder",,,,,,,,,
"Rosenfeld, Frau Dr. Ulrike",Englisch,Übersetzung,"wie Übersetzungen französischer, englischer und italienischer Romane aus ihrer Feder",,,,,,,,,
"Rosenfeld, Frau Dr. Ulrike",Italienisch,Übersetzung,"wie Übersetzungen französischer, englischer und italienischer Romane aus ihrer Feder",,,,,,,,,
"Ruhe, Frau Johanna",Russisch,Übersetzung,"Reisen nach Italien, Russland, Österreich-Ungarn, Belgien, nach der Schweiz und ein längerer Aufenthalt in Russisch-Polen regten sie an, fremde, besonders die slavischen Sprachen zu lernen und diese nutzbringend zu verwerten. Sie hat die Arbeiten der hervorragenden Schriftsteller Russlands und Polens übersetzt.",,,,,,,,,
"Ruhe, Frau Johanna",Polnisch,Übersetzung,"Reisen nach Italien, Russland, Österreich-Ungarn, Belgien, nach der Schweiz und ein längerer Aufenthalt in Russisch-Polen regten sie an, fremde, besonders die slavischen Sprachen zu lernen und diese nutzbringend zu verwerten. Sie hat die Arbeiten der hervorragenden Schriftsteller Russlands und Polens übersetzt.",,,,,,,,,
"Ruhkopf, Julie",Norwegisch,Übersetzung,übersetzte auch Henrik Ibsens Drama »Brand«,,,,,,,,,
"Rümelin-Oesterlen, Frau Natalie",Französisch,Übersetzung,"indem sie zwei Novellen André Theuriets im Verlag von Frank in Oppeln erscheinen liess. Sodann war sie schriftstellerisch thätig als Mitarbeiterin des »Bazars«, der »Zukunft« etc., in denen sie auch spanische, italienische, französische Novellen, Biographieen und sonstige Arbeiten veröffentlichte.",,,,,,,,,
"Rümelin-Oesterlen, Frau Natalie",Spanisch,Übersetzung,"in denen sie auch spanische, italienische, französische Novellen, Biographieen und sonstige Arbeiten veröffentlichte",,,,,,,,,
"Rümelin-Oesterlen, Frau Natalie",Italienisch,Übersetzung,"in denen sie auch spanische, italienische, französische Novellen, Biographieen und sonstige Arbeiten veröffentlichte",,,,,,,,,
"Rümelin-Oesterlen, Frau Natalie",Englisch,Übersetzung,"übersetzte sie für die »Engelhornsche Romanbibliothek« eine grosse Reihe von französischen und englischen Romanen besserer Meister (Daudet, André Theuriet, Feuillet, Rider Haggard u.a.m.)",,,,,,,,,
"Salzbrunn, Alice",Englisch,Übersetzung,"Aus dem Engl. 16. (253) Gütersloh 1875, Bertelsmann. 1.80",,,,,,,,,
"Saphir, Marie",Französisch,Übersetzung,"Der Sohn des Giboyer. Übers. d. E. Augier. 8. (60) Wien 1865, Wallishausser. n 1.60",,,,,,,,,
"Saphir, Marie",Englisch,Übersetzung,Drei Tage im Harem. Übers. aus dem Englischen.,,,,,,,,,
"Schabelsky, Frl. Elsa von",Deutsch,Spracherlernung,"und ging später auf das Konservatorium in Wien, um die deutsche Sprache zu erlernen",,,,,,,,,
"Schaller, A.",Französisch,Erziehung und Publikation,"im Elsass geboren, genoss sie ihre Erziehung sowohl im Französischen als auch im Deutschen. Ihre schriftstellerischen Arbeiten sind jedoch nur deutsch. Ein einziges französisches Werkchen wurde in Paris veröffentlicht",,,,,,,,,
"Schaller, A.",Deutsch,Schriftstellerische Tätigkeit,"im Elsass geboren, genoss sie ihre Erziehung sowohl im Französischen als auch im Deutschen. Ihre schriftstellerischen Arbeiten sind jedoch nur deutsch.",,,,,,,,,
"Schanz, Frau Pauline",Französisch,Übersetzung,"übersetzt auch aus dem Französischen, Italienischen, Spanischen, Englischen, Schwedischen und Dänischen",,,,,,,,,
"Schanz, Frau Pauline",Italienisch,Übersetzung,"übersetzt auch aus dem Französischen, Italienischen, Spanischen, Englischen, Schwedischen und Dänischen",,,,,,,,,
"Schanz, Frau Pauline",Spanisch,Übersetzung,"übersetzt auch aus dem Französischen, Italienischen, Spanischen, Englischen, Schwedischen und Dänischen",,,,,,,,,
"Schanz, Frau Pauline",Englisch,Übersetzung,"übersetzt auch aus dem Französischen, Italienischen, Spanischen, Englischen, Schwedischen und Dänischen",,,,,,,,,
"Schanz, Frau Pauline",Schwedisch,Übersetzung,"übersetzt auch aus dem Französischen, Italienischen, Spanischen, Englischen, Schwedischen und Dänischen",,,,,,,,,
"Schanz, Frau Pauline",Dänisch,Übersetzung,"übersetzt auch aus dem Französischen, Italienischen, Spanischen, Englischen, Schwedischen und Dänischen",,,,,,,,,
"Scheibe, Frl. Auguste",Englisch,Übersetzung,"Bleakhaus. Boz. Übers. 16. (1241 m. 16 K.) Leipzig 1853, Weber. Vergriffen. n 10.–",,,,,,,,,
"Schirmacher, Frl. Käthe, Dr. phil.",Französisch,Staatsexamen,Von 1885–1887 studierte und dort das Staatsexamen für Deutsch und Französisch ablegte,,,,,,,,,
"Schirmacher, Frl. Käthe, Dr. phil.",Deutsch,Staatsexamen,Von 1885–1887 studierte und dort das Staatsexamen für Deutsch und Französisch ablegte,,,,,,,,,
"Schneider, José Arno, Baronin",Französisch,Sprachbeherrschung,"Sie beherrscht ausser der Muttersprache noch das Französische, Italienische und Englische",,,,,,,,,
"Schneider, José Arno, Baronin",Italienisch,Sprachbeherrschung,"Sie beherrscht ausser der Muttersprache noch das Französische, Italienische und Englische",,,,,,,,,
"Schneider, José Arno, Baronin",Englisch,Sprachbeherrschung,"Sie beherrscht ausser der Muttersprache noch das Französische, Italienische und Englische",,,,,,,,,
Schneider Lina,Niederländisch,Litteraturstudium und Übersetzungen,erhielt wegen ihrer Verdienste um die niederländische Litteratur 1873 von der niederländischen Regierung die grosse goldene Verdienstmedaille,,,,,,,,,
Schneider Lina,Mittelhochdeutsch,Litteraturgeschichtsstudium,"Sie widmete sich dem Studium der Literaturgeschichte, namentlich der mittelhochdeutschen",,,,,,,,,
Schneider Lina,Indisch/Sanskrit,Litteraturstudium,wendete sich dann dem Studium der indischen Litteratur,,,,,,,,,
Schneider Lina,Malayisch,Litteraturstudium,"sowie der malayischen aus dem 14. Jahrhundert zu, über die sie auch Verschiedenes veröffentlichte",,,,,,,,,
Schoener Clara,Italienisch,Übersetzungen,C. Sch. ist Mitarbeiterin an verschiedenen Tagesblättern und Herausgeberin einiger Übersetzungen aus dem Italienischen,,,,,,,,,
Schönwälder E.,Englisch,Übersetzung von Novellen,Sie übersetzt seit Jahren Novellen u. dergl. aus dem Englischen,,,,,,,,,
Schrakamp Josefa,Englisch,Veröffentlichung,"Dasselbe. Auch engl.: Artists, poets, composers and philosophers",,,,,,,,,
Schramm-Macdonald Marie,Englisch,Romanübersetzung,Lyndall. Rom. aus dem südafrik. Farmerleben. Frei aus dem Englischen von Ralph Iron,,,,,,,,,
Schreck Emmy,Finnisch,Märchenübersetzung,"Märchen, finnische, übers, v. E. Sch.",,,,,,,,,
Schröder Emilie,Französisch,Literaturübersetzung,Molières sämtliche Werke in 2 Bden. Hrsg. von E. S.,,,,,,,,,
Schröder Emilie,Italienisch,Literaturübersetzung,"Die Verlobten, Die. Von A. Manzoni. Aus dem Ital. von E. S.",,,,,,,,,
Schroeder Catharine,Englisch,Aufenthalt als Erzieherin,"Sie ging als solche 1865 nach England, verlebte dort 17 Jahre",,,,,,,,,
Schubert-Feder Cläre,Italienisch,Aufenthalt und gesellschaftlicher Verkehr,Hier lernte sie bald das feine toskanische Italienisch ganz beherrschen,,,,,,,,,
Schuchardt Julie,Englisch,Übersetzungen,"übte sie sich schon während der Schulzeit in der Kunst des Verseschreibens, auch in Übersetzungen aus dem Englischen",,,,,,,,,
Schuchardt Julie,Französisch,Literaturübersetzung,Jocelyn. Tagebuch eines Dorfpfarrers. Eine epische Dichtg. Von A. de Lamartine. Übers. v. Julie Bernhard,,,,,,,,,
Schück Elisabeth,Englisch,Übersetzungen und Nacherzählungen,Ännchens frische Schneeglöckchen. Frei nach dem Engl. erzählt,,,,,,,,,
Schuhmann Sophie,Englisch,Aufenthalt und Literaturstudium,Ein mehrjähriger Aufenthalt in England machte sie mit dessen Sprache und Litteratur vertraut,,,,,,,,,
Schultz Marie,Englisch,Übersetzung von Romanen und Erzählungen,schreibt Romane und kurze Erzählungen aus dem Englischen,,,,,,,,,
Schultz Marie,Portugiesisch,Nacherzählung,Das Stationskreuz. Dem Portugiesischen d. Pedro Ivo nacherzählt,,,,,,,,,
Schultze-Wege Johanna,Englisch,Literaturübersetzung,"Die Lebensgeschichte, Abenteuer, Erfahrungen u. Beobachtungen David Copperfields des Jüngeren aus Blunderstone, Krähengenist von Charles Dickens. Ins Deutsche übertr. v. J. W.",,,,,,,,,
Schultze-Wege Johanna,Französisch,Literaturübersetzung,Die Fabeln von Jean de Lafontaine. Ins Deutsche übertragen von J. Wege,,,,,,,,,
Schultze-Wege Johanna,Italienisch,Literaturübersetzung,Das neue Leben und die gesammelten lyrischen Gedichte von Dante Alighieri. In den Versmassen der Urschrift ins Deutsche übertragen von J. Wege,,,,,,,,,
Schulze-Smidt Bernhardine,Türkisch,Nachdichtung von Liedern,u. Gül hanendé Assim-Agha. Rosenblätter. Lieder u. Sprüche des Volkssängers u. Improvisators A.-A. Dem Neutürk. nachgedichtet v. B. S.-S.,,,,,,,,,
Schuselka-Brüning,Französisch,Theaterbearbeitung,"Ein verlorener Vater. Charakterlustsp. von A. Dumas, bearbeitet von Sch.-Br.",,,,,,,,,
Schwartz Esperance von,Acht Sprachen,Allgemeine Sprachbeherrschung,Für Sprachen zeigte das vielseitig talentierte Kind besondere Befähigung. Später beherrschte sie 8 Sprachen gleichmässig,,,,,,,,,
Schwarz-Norberg El. von,Französisch,Verfassen französischsprachiger Werke,La fin du roi Bonaparte. 1889,,,,,,,,,
Schweikher Marie,Englisch,Freie Bearbeitung,Wirkliche Lebensgeschichte des Onkels Tom in Frau Beecher-Stowes »Onkel Toms Hütte.« Frei nach dem Engl.,,,,,,,,,
Schweizer-Meyer Bertha Louise Marie,Englisch,Zeitschriftenpublikation,Auch eine von ihr herausgegebene Monatszeitschrift: »Deutsch-amerikanisches Kneippblatt« erscheint in englischer Sprache,,,,,,,,,
Schweizer-Meyer Bertha Louise Marie,Französisch,Buchveröffentlichung,wovon eine englische und französische Ausgabe im Verlaufe dieses Jahres erscheinen wird,,,,,,,,,
Schwerin Jeannette,Französisch,Wissenschaftliche Publikation,"Eine grössere wissenschaftliche Arbeit ist im »Musée Social«, 1896, Série A, circulaire No. 10 zu Paris unter dem Titel »Une grève dans l'industrie de la confection« erschienen",,,,,,,,,
Schwerin Jeannette,Englisch,Übersetzung,"Von welchen Bedingungen ist eine wirksame Armenpflege abhängig? Vortrag, gehalten zu Bristol vor einer Versammlg. von Armenpflegerinnen von Margaret Sewell. Autorisierte Übers. von J. Sch.",,,,,,,,,
Scott Marie von,Englisch,Romanübersetzungen,Der Dolmetscher. Aus dem Engl.,,,,,,,,,
Selden Camilla,Französisch,Übersetzung von Erinnerungen,Heinrich Heines letzte Tage. Erinnergn. Aus dem Franz.,,,,,,,,,
Sell Maria,Englisch,Übersetzungen,übersetzt aus dem Englischen und Französischen. Von ihren Übersetzungen seien erwähnt: Tagebuchblätter der Königin Victoria; Leben und Briefe von Ch. Kingsley und von F. Maurice,,,,,,,,,
Sell Maria,Französisch,Übersetzungen,übersetzt aus dem Englischen und Französischen,,,,,,,,,
Semmig Jeanne Bertha,Französisch,Aufwachsen in Frankreich,"geboren am 16. Mai 1867 zu Orleans, wo ihr Vater Friedr. Hermann Semmig deutscher Lehrer am Lycée war",,,,,,,,,
Severin J.,Französisch,Übersetzung,Der arme Wilhelm. Eine Erzählg. für das Volk. Übers. nach dem Französ. der Frau von Pressensé,,,,,,,,,
"Siedler, Frl. Johanna",Englisch,Sprachlehrerin,"die englische Sprache hatte sie schon in der Kindheit von ihrer Mutter, einer geborenen Engländerin, erlernt",,,,,,,,,
"Siedmogrodzka, Frl. Henriette von",Fremde,Sprachen,Übersetzerin,,,,,war auch vielfach als Übersetzerin fremder Sprachen thätig,,,,
"Sommerfeld von Scheve, Frau Marie",Italienisch,Studium,und,,,,,Übersetzungen,"Schon im Alter von 11 Jahren hatte sie Unterricht in der italienischen, englischen, französischen und lateinischen Sprache",,,
"Sommerfeld von Scheve, Frau Marie",Englisch,Studium,und,,,,,Übersetzungen,"Schon im Alter von 11 Jahren hatte sie Unterricht in der italienischen, englischen, französischen und lateinischen Sprache",,,
"Sommerfeld von Scheve, Frau Marie",Französisch,Studium,und,,,,,Übersetzungen,"Schon im Alter von 11 Jahren hatte sie Unterricht in der italienischen, englischen, französischen und lateinischen Sprache",,,
"Sommerfeld von Scheve, Frau Marie",Lateinisch,Studium,und,,,,,Übersetzungen,"Schon im Alter von 11 Jahren hatte sie Unterricht in der italienischen, englischen, französischen und lateinischen Sprache",,,
"Sommerfeld von Scheve, Frau Marie",Griechisch,Studium,später auch in griechischer,,,,,,,,,
"Spann, Frl. Martha",Englisch,Übersetzen,"macht Übersetzungen aus dem Englischen, Französischen und Italienischen",,,,,,,,,
"Spann, Frl. Martha",Französisch,Übersetzen,"macht Übersetzungen aus dem Englischen, Französischen und Italienischen",,,,,,,,,
"Spann, Frl. Martha",Italienisch,Übersetzen,"macht Übersetzungen aus dem Englischen, Französischen und Italienischen",,,,,,,,,
"Spann-Weber, Thekla",Englisch,Übersetzungen,für,,,,,Zeitschriften,macht Übersetzungen aus dem Englischen und Französischen für deutsche und amerikanische Zeitschriften,,,
"Spann-Weber, Thekla",Französisch,Übersetzungen,für,,,,,Zeitschriften,macht Übersetzungen aus dem Englischen und Französischen für deutsche und amerikanische Zeitschriften,,,
"Spangenberg, Pauline",Englisch,Übersetzungen,Übers. aus dem Engl. d. Kingsley,,,,,,,,,
"Speyer, R.",Englisch,Übersetzen,"übersetzt aus dem Englischen, Französischen und Spanischen",,,,,,,,,
"Speyer, R.",Französisch,Übersetzen,"übersetzt aus dem Englischen, Französischen und Spanischen",,,,,,,,,
"Speyer, R.",Spanisch,Übersetzen,"übersetzt aus dem Englischen, Französischen und Spanischen",,,,,,,,,
"Soltau, Emilie",Schwedisch,Lehrbuch,verfassen,,,,,Lehrbuch der schwedischen Sprache nebst e. Anh. spez. f. Kaufleute,,,,
"Springer, Frl. Marie",Englisch,Übersetzungen,Zu Rad durch das heutige Spanien. Übers. aus dem Englischen,,,,,,,,,
"Stein-Nordheim, Baronin Elisa von",Englisch,Übersetzungen,und,,,,,Studien,"beherrscht ausser ihrer Muttersprache die englische, französische und italienische Sprache vollständig",,,
